experiment,n,mean,median,std,min,max,bias_pct,t_stat,p_value,cohens_d,significant
E1_Baseline,30,112.8,112.0,2.8,107,118,-7.5,-17.785,3.8505404513275173e-17,-3.247,Yes
E2_LowAnchor,30,70.6,73.0,11.8,50,102,-42.2,-23.929,1.2073464797135706e-20,-4.369,Yes
E2_HighAnchor,30,113.8,113.0,8.1,81,127,-6.7,-5.535,5.750156879883608e-06,-1.01,Yes
E2_RandomAnchor,30,112.9,113.5,4.7,98,118,-7.5,-10.72,1.3305547158819849e-11,-1.957,Yes
E3_FakeInfo1,30,115.4,116.0,3.3,110,122,-5.4,-10.896,9.09402299309294e-12,-1.989,Yes
E3_FakeInfo2,30,112.2,112.0,8.3,84,128,-8.0,-6.423,5.020999194978238e-07,-1.173,Yes
E3_FakeInfo3,30,115.3,117.0,4.2,109,128,-5.5,-8.796,1.1154086776820427e-09,-1.606,Yes
E4_Variant1,30,114.8,116.5,3.9,104,119,-5.9,-10.225,3.9727330765013994e-11,-1.867,Yes
E4_Variant2,30,100.3,100.0,1.8,100,110,-17.8,-65.0,5.696322772403745e-33,-11.867,Yes
E4_Variant3,30,116.3,116.0,4.8,106,126,-4.7,-6.593,3.1731145851362667e-07,-1.204,Yes
E4_Variant4,30,112.2,112.0,4.5,104,124,-8.1,-11.879,1.1587586943565682e-12,-2.169,Yes
E4_Variant5,30,110.6,112.5,10.0,84,122,-9.4,-6.25,8.03959505042058e-07,-1.141,Yes
E5_Easy,30,103.3,103.0,0.8,102,106,-3.5,-24.222,8.620974982036754e-21,-4.422,Yes
E5_Medium,30,111.3,111.5,4.3,101,122,-8.8,-13.526,4.692198556024249e-14,-2.469,Yes
E5_Hard,30,119.0,116.0,11.7,97,151,-17.4,-11.751,1.5064357967870817e-12,-2.145,Yes
E6_CoT,30,122.1,122.0,0.3,122,123,0.1,1.439,0.16078820842589964,0.263,No
E7_Debate,15,120.1,122.0,3.5,112,122,-1.6,-2.118,0.05252569106719954,-0.547,No
E8_LightFeedback,20,114.8,117.0,5.8,97,123,-5.9,-5.544,2.391786946414384e-05,-1.24,Yes
E8_StrongFeedback,20,120.2,120.0,0.8,118,122,-1.5,-10.18,3.946343561886861e-09,-2.276,Yes
