experiment,condition,rep,order_quantity,bias,bias_pct
E6_CoT,E6_cot,1,122,0,0.0
E6_CoT,E6_cot,2,122,0,0.0
E6_CoT,E6_cot,3,123,1,0.8
E6_CoT,E6_cot,4,122,0,0.0
E6_CoT,E6_cot,5,122,0,0.0
E6_CoT,E6_cot,6,122,0,0.0
E6_CoT,E6_cot,7,122,0,0.0
E6_CoT,E6_cot,8,122,0,0.0
E6_CoT,E6_cot,9,122,0,0.0
E6_CoT,E6_cot,10,122,0,0.0
E6_CoT,E6_cot,11,122,0,0.0
E6_CoT,E6_cot,12,122,0,0.0
E6_CoT,E6_cot,13,122,0,0.0
E6_CoT,E6_cot,14,122,0,0.0
E6_CoT,E6_cot,15,122,0,0.0
E6_CoT,E6_cot,16,122,0,0.0
E6_CoT,E6_cot,17,122,0,0.0
E6_CoT,E6_cot,18,122,0,0.0
E6_CoT,E6_cot,19,122,0,0.0
E6_CoT,E6_cot,20,122,0,0.0
E6_CoT,E6_cot,21,122,0,0.0
E6_CoT,E6_cot,22,122,0,0.0
E6_CoT,E6_cot,23,122,0,0.0
E6_CoT,E6_cot,24,122,0,0.0
E6_CoT,E6_cot,25,122,0,0.0
E6_CoT,E6_cot,26,122,0,0.0
E6_CoT,E6_cot,27,122,0,0.0
E6_CoT,E6_cot,28,122,0,0.0
E6_CoT,E6_cot,29,123,1,0.8
E6_CoT,E6_cot,30,122,0,0.0
E2_HighAnchor,E2_anchor_high,1,120,-2,-1.6
E2_HighAnchor,E2_anchor_high,2,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,3,112,-10,-8.2
E2_HighAnchor,E2_anchor_high,4,117,-5,-4.1
E2_HighAnchor,E2_anchor_high,5,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,6,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,7,114,-8,-6.6
E2_HighAnchor,E2_anchor_high,8,126,4,3.3
E2_HighAnchor,E2_anchor_high,9,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,10,122,0,0.0
E2_HighAnchor,E2_anchor_high,11,96,-26,-21.3
E2_HighAnchor,E2_anchor_high,12,117,-5,-4.1
E2_HighAnchor,E2_anchor_high,13,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,14,118,-4,-3.3
E2_HighAnchor,E2_anchor_high,15,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,16,118,-4,-3.3
E2_HighAnchor,E2_anchor_high,17,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,18,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,19,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,20,127,5,4.1
E2_HighAnchor,E2_anchor_high,21,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,22,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,23,117,-5,-4.1
E2_HighAnchor,E2_anchor_high,24,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,25,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,26,113,-9,-7.4
E2_HighAnchor,E2_anchor_high,27,112,-10,-8.2
E2_HighAnchor,E2_anchor_high,28,118,-4,-3.3
E2_HighAnchor,E2_anchor_high,29,81,-41,-33.6
E2_HighAnchor,E2_anchor_high,30,116,-6,-4.9
